hhmemberid,seq_num,income,cfps2016eduy_im,age,gender,urban16,provcd16,ethnic,married,party,employ,postsecondary,seniorsecondary,juniorsecondary,primary,illiterate,lninc,exper,exper2,area
130434101,130434,0,12,62,1,0,13,0,1,0,1,0,1,0,0,0,,44,1936,1
130434102,130434,0,0,63,0,0,13,0,1,0,1,0,0,0,0,1,,57,3249,1
130442101,130442,28100,0,46,0,1,12,0,0,0,1,0,0,0,0,1,10.243525,40,1600,1
130443431,130443,4500,9,26,0,0,13,0,1,0,1,0,0,1,0,0,8.4118328,11,121,1
130445103,626175,0,9,36,1,1,13,0,1,0,1,0,0,1,0,0,,21,441,1
130448103,130448,0,6,26,1,1,13,0,1,0,1,0,0,0,1,0,,14,196,1
130452101,130452,30000,6,42,1,0,13,0,1,0,1,0,0,0,1,0,10.308952,30,900,1
130457102,130457,0,9,51,1,0,13,0,1,0,1,0,0,0,1,0,,36,1296,1
130457103,184826,45000,9,29,1,1,12,0,0,0,1,0,0,1,0,0,10.714417,14,196,1
130458104,130458,60000,11,25,1,0,13,0,0,0,1,0,0,1,0,0,11.0021,8,64,1
